resource_id,utilization_percent
fte_sofia_3,15.07
setup_sofia_3,11.97
fte_hengelo_2,14.03
fte_sofia_1,15.30
fte_sofia_2,18.59
setup_sofia_6,16.01
setup_hengelo_2,15.42
fte_hengelo_1,11.71
fte_sofia_6,16.27
setup_hengelo_4,12.56
setup_sofia_2,10.11
fte_hengelo_4,15.69
fte_sofia_4,13.68
setup_sofia_5,9.73
fte_hengelo_3,11.59
setup_sofia_4,12.97
setup_hengelo_1,8.62
setup_hengelo_3,12.18
setup_sofia_1,15.07
setup_sofia_7,17.04
fte_sofia_5,14.33
fte_sofia_8,11.29
fte_sofia_7,10.49
setup_sofia_8,14.80
