project_id,project_name,project_leg_id,leg_number,leg_name,priority,start_iso_week,,,
Test Group 1,HEC_DVA10,Test Group 1,1,Test Group 1,3,2025-W18,,,
Test Group 4,HEC_DVA10,Test Group 4,2,Test Group 4,9,2025-W19,,,
Test Group 5,HEC_DVA10,Test Group 5,3,Test Group 5,10,2025-W15,,,
Test Group 6,HEC_DVA10,Test Group 6,4,Test Group 6,11,2025-W18,,,
Test Group 7,HEC_DVA10,Test Group 7,5,Test Group 7,12,2025-W31,,,
Test Group 9,HEC_DVA10,Test Group 9,6,Test Group 9,1,2025-W18,,,
Test Group 11,HEC_DVA10,Test Group 11,7,Test Group 11,2,2025-W22,,,
Test Group 12,HEC_DVA10,Test Group 12,8,Test Group 12,13,2025-W25,,,
Test Group 13,HEC_DVA10,Test Group 13,9,Test Group 13,4,2025-W27,,,
Test Group 14,HEC_DVA10,Test Group 14,10,Test Group 14,5,2025-W33,,,
Test Group 15,HEC_DVA10,Test Group 15,11,Test Group 15,99,2025-W13,,,
Test Group 16,HEC_DVA10,Test Group 16,12,Test Group 16,98,2025-W14,,,
Test Group 17,HEC_DVA10,Test Group 17,13,Test Group 17,7,2025-W15,,,
Test Group 18,HEC_DVA10,Test Group 18,14,Test Group 18,6,2025-W19,,,
