equipment_id,test_id,start,end
Setup_4,DCC_2_P_03,2025-03-22T00:00:00,2025-04-11T00:00:00
Setup_4,DCC_2_K_02,2025-04-11T00:00:00,2025-04-21T00:00:00
Setup_4,DCC_6_P_03,2025-05-05T00:00:00,2025-06-11T12:00:00
Setup_4,DCC_6_K_10_IPX6K,2025-06-11T12:00:00,2025-06-16T12:00:00
Setup_4,DCC_6_K_11_Steam_jet,2025-06-16T12:00:00,2025-06-21T12:00:00
Setup_4,DCC_2_K_03,2025-06-27T12:00:00,2025-06-30T00:00:00
Setup_4,DCC_3_K_02,2025-07-12T12:00:00,2025-07-22T12:00:00
Setup_4,DCC_3_P_03,2025-07-22T12:00:00,2025-08-11T12:00:00
Setup_4,DCC_3_L_03_0_50pct,2025-08-11T12:00:00,2025-09-03T00:00:00
Setup_4,DCC_3_P_02,2025-09-03T00:00:00,2025-09-13T00:00:00
Setup_4,DCC_3_L_03_50_100pct,2025-09-13T00:00:00,2025-10-05T12:00:00
Setup_4,DCC_3_P_02_a,2025-10-05T12:00:00,2025-10-15T12:00:00
Setup_4,DCC_3_P_03_a,2025-10-15T12:00:00,2025-11-04T12:00:00
Setup_4,DCC_3_K_02,2025-11-04T12:00:00,2025-11-14T12:00:00
Setup_4,DCC_3_P_03_Extended,2025-11-14T12:00:00,2025-12-04T12:00:00
Setup_4,DCC_3_Leak_test,2025-12-04T12:00:00,2025-12-07T00:00:00
Setup_4,DCC_3_Physical_Analysis,2025-12-07T00:00:00,2025-12-12T00:00:00
Setup_2,DCC_2_K_04,2025-03-19T12:00:00,2025-03-22T00:00:00
Setup_2,DCC_3_K_01,2025-06-30T00:00:00,2025-07-02T12:00:00
Setup_2,DCC_2_P_02l_a,2025-07-26T00:00:00,2025-07-28T12:00:00
Setup_2,DCC_2_M_04_Vib,2025-07-28T12:00:00,2025-08-07T12:00:00
Setup_2,DCC_6_P_02l,2025-08-25T00:00:00,2025-08-27T12:00:00
Setup_2,DCC_6_K_12,2025-08-27T12:00:00,2025-09-06T12:00:00
Setup_2,DCC_6_Leak_test,2025-09-06T12:00:00,2025-09-09T00:00:00
Setup_2,DCC_6_P_03_Extended,2025-09-09T00:00:00,2025-09-29T00:00:00
Setup_2,DCC_6_Physical_Analysis,2025-09-29T00:00:00,2025-10-04T00:00:00
Setup_1,DCC_2_K_01,2025-03-17T00:00:00,2025-03-19T12:00:00
Setup_1,DCC_2_K_05,2025-04-21T00:00:00,2025-05-16T00:00:00
Setup_3,DCC_2_P_03l_a,2025-05-16T00:00:00,2025-05-31T00:00:00
Setup_3,DCC_2_K_09,2025-05-31T00:00:00,2025-06-10T00:00:00
Setup_3,DCC_2_Leak_test,2025-06-10T00:00:00,2025-06-12T12:00:00
Setup_3,DCC_2_P_03l_b,2025-06-12T12:00:00,2025-06-27T12:00:00
Setup_3,DCC_2_P_02,2025-07-02T12:00:00,2025-07-12T12:00:00
Setup_3,DCC_2_M_05_Mech_Shock,2025-07-21T00:00:00,2025-07-26T00:00:00
Setup_3,DCC_4_K_01,2025-08-07T12:00:00,2025-08-10T00:00:00
Setup_3,DCC_4_P_03,2025-08-10T00:00:00,2025-08-30T00:00:00
Setup_3,DCC_4_VDA_corrosion,2025-08-30T00:00:00,2025-10-19T00:00:00
Setup_3,DCC_4_Leak_test,2025-10-19T00:00:00,2025-10-21T12:00:00
Setup_3,DCC_4_P_03_Extended,2025-10-21T12:00:00,2025-11-10T12:00:00
Setup_3,DCC_4_Physical_Analysis,2025-11-10T12:00:00,2025-11-15T12:00:00
