project,leg,branch,test,duration_days,description,next_leg
mwcu,2.1,,Leak,3.6,Leak,
mwcu,2.1,,K-01,4.2,High/low Temperature Storage,
mwcu,2.1,,K-04,8.4,Repainting Temperature,
mwcu,2.1,,P-03,28.0,Parameter Test Large,
mwcu,2.1,,K-02,16.8,Temperature Step,
mwcu,2.1,,K-05,42.0,Thermal Shock,
mwcu,2.1,,P-03-L,21.0,Parameter Test Large Limited,
mwcu,2.1,,K-06,16.8,Salt Spray,
mwcu,2.1,,P-02-L,3.5,Parameter Test Small Limited,
mwcu,2.1,,K-09,21.0,"Damp Heat, Cyclic",
mwcu,2.1,,Leak,3.6,Leak,
mwcu,2.1,,P-03-L,21.0,Parameter Test Large Limited,
mwcu,2.1,,K-03,4.2,Low Temperature Operation,
mwcu,2.1,,P-02,14.0,Parameter Test Small,
mwcu,2.1,,M-05,8.4,Mechanical Shock,
mwcu,2.1,,P-02-L,3.5,Parameter Test Small Limited,
mwcu,2.1,,M-04,16.8,Vibration,
mwcu,2.1,,P-03,28.0,Parameter Test Large,
mwcu,2.1,,HV S,16.8,HV Safety,
mwcu,2.1,,M-03,16.8,Dust (IP6X),
mwcu,2.1,,P-02-L,3.5,Parameter Test Small Limited,
mwcu,2.1,,K-10,6.0,Water Protection (IPX6K),
mwcu,2.1,,P-02-L,3.5,Parameter Test Small Limited,
mwcu,2.1,,K-11,6.0,Steam Jet (IPX9K),
mwcu,2.1,,P-02-L,3.5,Parameter Test Small Limited,
mwcu,2.1,,K-12,25.2,Thermal Shock Splash Water,
mwcu,2.1,,P-02-L,3.5,Parameter Test Small Limited,
mwcu,2.1,,K-02,16.8,Temperature Step,
mwcu,2.1,,P-03-E,28.0,Parameter Test Large Extended,
mwcu,2.1,,Leak,3.6,Leak,
mwcu,2.1,,Rep,14.0,Physical Analysis,
mwcu,2.1,,P-04,16.8,Physical Analysis,2.2
mwcu,2.2,,Leak,3.6,Leak,
mwcu,2.2,,K-01,4.2,High/low Temperature Storage,
mwcu,2.2,,K-04,8.4,Repainting Temperature,
mwcu,2.2,,P-03,28.0,Parameter Test Large,
mwcu,2.2,,K-02,16.8,Temperature Step,
mwcu,2.2,,K-05,42.0,Thermal Shock,
mwcu,2.2,,P-03-L,21.0,Parameter Test Large Limited,
mwcu,2.2,,K-06,16.8,Salt Spray,
mwcu,2.2,,P-02-L,3.5,Parameter Test Small Limited,
mwcu,2.2,,K-09,21.0,"Damp Heat, Cyclic",
mwcu,2.2,,Leak,3.6,Leak,
mwcu,2.2,,P-03-L,21.0,Parameter Test Large Limited,
mwcu,2.2,,K-03,4.2,Low Temperature Operation,
mwcu,2.2,,P-02,14.0,Parameter Test Small,
mwcu,2.2,,M-05,8.4,Mechanical Shock,
mwcu,2.2,,P-02-L,3.5,Parameter Test Small Limited,
mwcu,2.2,,M-04,16.8,Vibration,
mwcu,2.2,,P-03,28.0,Parameter Test Large,
mwcu,2.2,,HV S,16.8,HV Safety,
mwcu,2.2,,M-03,16.8,Dust (IP6X),
mwcu,2.2,,P-02-L,3.5,Parameter Test Small Limited,
mwcu,2.2,,K-10,6.0,Water Protection (IPX6K),
mwcu,2.2,,P-02-L,3.5,Parameter Test Small Limited,
mwcu,2.2,,K-11,6.0,Steam Jet (IPX9K),
mwcu,2.2,,P-02-L,3.5,Parameter Test Small Limited,
mwcu,2.2,,K-12,25.2,Thermal Shock Splash Water,
mwcu,2.2,,P-02-L,3.5,Parameter Test Small Limited,
mwcu,2.2,,K-02,16.8,Temperature Step,
mwcu,2.2,,P-03-E,28.0,Parameter Test Large Extended,
mwcu,2.2,,Leak,3.6,Leak,
mwcu,2.2,,Rep,14.0,Physical Analysis,
mwcu,2.2,,P-04,16.8,Physical Analysis,3
mwcu,3,a,Leak,3.6,Leak,
mwcu,3,a,K-01,4.2,High/low Temperature Storage,
mwcu,3,a,K-02,16.8,Temperature Step,
mwcu,3,a,P-03,28.0,Parameter Test Large,
mwcu,3,a,L-03,104.4,Temperature Cycle Endurance [0% - 25%],
mwcu,3,a,P-03,28.0,Parameter Test Large,
mwcu,3,a,L-03,104.4,Temperature Cycle Endurance [50% - 75%],
mwcu,3,a,K-02,16.8,Temperature Step,
mwcu,3,a,P-03-E,28.0,Extended Tests of P-03-E,
mwcu,3,a,Leak,3.6,Leak,
mwcu,3,a,Rep,14.0,Physical Analysis,
mwcu,3,a,P-04,16.8,Physical Analysis,3
mwcu,3,b,Leak,3.6,Leak,
mwcu,3,b,K-01,4.2,High/low Temperature Storage,
mwcu,3,b,K-02,16.8,Temperature Step,
mwcu,3,b,P-03,28.0,Parameter Test Large,
mwcu,3,b,L-03,104.4,Temperature Cycle Endurance [0% - 25%],
mwcu,3,b,P-03,28.0,Parameter Test Large,
mwcu,3,b,L-03,104.4,Temperature Cycle Endurance [50% - 75%],
mwcu,3,b,K-02,16.8,Temperature Step,
mwcu,3,b,P-03-E,28.0,Extended Tests of P-03-E,
mwcu,3,b,Leak,3.6,Leak,
mwcu,3,b,Rep,14.0,Physical Analysis,
mwcu,3,b,P-04,16.8,Physical Analysis,
mwcu,4,a,Leak,3.6,Leak,
mwcu,4,a,K-01,4.2,High/low Temperature Storage,
mwcu,4,a,P-03,28.0,Parameter Test Large,
mwcu,4,a,VDA,63.0,VDA 233-102 Corrosion,
mwcu,4,a,Leak,3.6,Leak,
mwcu,4,a,P-03-E,28.0,Parameter Test Large Extended,
mwcu,4,a,Rep,14.0,Physical Analysis,
mwcu,4,a,P-04,16.8,Physical Analysis,4
mwcu,4,b,Leak,3.6,Leak,
mwcu,4,b,K-01,4.2,High/low Temperature Storage,
mwcu,4,b,P-03,28.0,Parameter Test Large,
mwcu,4,b,VDA,63.0,VDA 233-102 Corrosion,
mwcu,4,b,Leak,3.6,Leak,
mwcu,4,b,P-03-E,28.0,Parameter Test Large Extended,
mwcu,4,b,Rep,14.0,Physical Analysis,
mwcu,4,b,P-04,16.8,Physical Analysis,4
mwcu,5.1,,Leak,3.6,Leak,
mwcu,5.1,,K-01,4.2,High/low Temperature Storage,
mwcu,5.1,,P-03,28.0,Parameter Test Large,
mwcu,5.1,,M-07,14.0,Pressure Change Coolant Circuit,
mwcu,5.1,,P-02,14.0,Parameter Test Small,
mwcu,5.1,,C-01,25.2,Chemicals,
mwcu,5.1,,Leak,3.6,Leak,
mwcu,5.1,,P-03-E,28.0,Parameter Test Large Extended,
mwcu,5.1,,Rep,14.0,Physical Analysis,
mwcu,5.1,,P-04,16.8,Physical Analysis,6
mwcu,5.2,a,Leak,3.6,Leak,
mwcu,5.2,a,K-01,4.2,High/low Temperature Storage,
mwcu,5.2,a,P-03,28.0,Parameter Test Large,
mwcu,5.2,a,K-14,30.0,"Damp Heat, Steady State",
mwcu,5.2,a,Leak,3.6,Leak,
mwcu,5.2,a,P-03-E,28.0,Parameter Test Large Extended,
mwcu,5.2,a,Rep,14.0,Physical Analysis,
mwcu,5.2,a,P-04,16.8,Physical Analysis,5.2
mwcu,5.2,b,Leak,3.6,Leak,
mwcu,5.2,b,K-01,4.2,High/low Temperature Storage,
mwcu,5.2,b,P-03,28.0,Parameter Test Large,
mwcu,5.2,b,K-14,30.0,"Damp Heat, Steady State",
mwcu,5.2,b,Leak,3.6,Leak,
mwcu,5.2,b,P-03-E,28.0,Parameter Test Large Extended,
mwcu,5.2,b,Rep,14.0,Physical Analysis,
mwcu,5.2,b,P-04,16.8,Physical Analysis,5.2
mwcu,6,,Leak,3.6,Leak,
mwcu,6,,K-01,4.2,High/low Temperature Storage,
mwcu,6,,P-03,28.0,Parameter Test Large,
mwcu,6,,K-10,6.0,Water Protection (IPX6K),
mwcu,6,,K-11,6.0,Steam Jet (IPX9K),
mwcu,6,,P-02-L,3.5,Parameter Test Small Limited,
mwcu,6,,K-12,25.2,Thermal Shock Splash Water,
mwcu,6,,Leak,3.6,Leak,
mwcu,6,,P-03-E,28.0,Parameter Test Large Extended,
mwcu,6,,Rep,14.0,Physical Analysis,
mwcu,6,,P-04,16.8,Physical Analysis,3
mwcu,7,a,Leak,3.6,Leak,
mwcu,7,a,K-01,4.2,High/low Temperature Storage,
mwcu,7,a,K-02,16.8,Temperature Step,
mwcu,7,a,P-03,28.0,Parameter Test Large,
mwcu,7,a,L-02,168.0,Temperature Cycle Endurance [0% - 25%],
mwcu,7,a,P-03,28.0,Parameter Test Large,
mwcu,7,a,L-02,168.0,Temperature Cycle Endurance [50% - 75%],
mwcu,7,a,K-02,16.8,Temperature Step,
mwcu,7,a,P-03-E,28.0,Extended Tests of P-03-E,
mwcu,7,a,Leak,3.6,Leak,
mwcu,7,a,Rep,14.0,Physical Analysis,
mwcu,7,a,P-04,16.8,Physical Analysis,7
mwcu,7,b,Leak,3.6,Leak,
mwcu,7,b,K-01,4.2,High/low Temperature Storage,
mwcu,7,b,K-02,16.8,Temperature Step,
mwcu,7,b,P-03,28.0,Parameter Test Large,
mwcu,7,b,L-02,168.0,Temperature Cycle Endurance [0% - 25%],
mwcu,7,b,P-03,28.0,Parameter Test Large,
mwcu,7,b,L-02,168.0,Temperature Cycle Endurance [50% - 75%],
mwcu,7,b,K-02,16.8,Temperature Step,
mwcu,7,b,P-03-E,28.0,Extended Tests of P-03-E,
mwcu,7,b,Leak,3.6,Leak,
mwcu,7,b,Rep,14.0,Physical Analysis,
mwcu,7,b,P-04,16.8,Physical Analysis,7
